 ;30;11610;black;PART;Ice Cream Cone
x;30;3021;D bluish gray;PART;Plate 2 x 3
 ;60;61252;D bluish gray;PART;Plate, Modified 1 x 1 with Clip Horizontal (thick open O clip)
 ;15;2412b;D bluish gray;PART;Tile, Modified 1 x 2 Grille with Bottom Groove / Lip
 ;15;2432;D bluish gray;PART;Tile, Modified 1 x 2 with Handle
x;45;64567;L bluish gray;PART;Minifig, Weapon Lightsaber Hilt Straight
 ;30;3710;R brown;PART;Plate 1 x 4
x;15;3022;R brown;PART;Plate 2 x 2
 ;15;85984;R brown;PART;Slope 30 1 x 2 x 2/3
 ;30;11203;tan;PART;Tile, Modified 2 x 2 Inverted
 ;30;30374;T-L blue;PART;"Bar   4L &#40;Lightsaber Blade / Wand&#41;"
