 ;2;14716;B L yellow;PART;Brick 1 x 1 x 3;20;x
 ;4;3004;B L yellow;PART;Brick 1 x 2;40;x
 ;2;4073;D purple;PART;Plate, Round 1 x 1 Straight Side;10;x
 ;2;2423;green;PART;Plant Leaves 4 x 3;20;w
 ;2;2419;green;PART;Wedge, Plate 3 x 6 Cut Corners;20;w
 ;1;3023;lime;PART;Plate 1 x 2;10;q
 ;2;3020;lime;PART;Plate 2 x 4;20;q
 ;1;11618;magenta;PART;Friends Accessories Hair Decoration, Bow with Heart, Long Ribbon and Pin;10;q
 ;1;98388pb03;M azure;PART;Bird, Friends with Bright Light Orange Chest, Black Eyes, and Dark Bluish Gray Beak Pattern;10;q
 ;4;3023;M lavender;PART;Plate 1 x 2;40;w
 ;1;3666;M lavender;PART;Plate 1 x 6;10;w
 ;1;14769;M lavender;PART;Tile, Round 2 x 2 with Bottom Stud Holder;10;w
 ;1;41044-1;minifig;INSTRUCTION;Macaw&#39;10;q
 ;3;22667;red;PART;Cherries;20;k
 ;1;3794b;R brown;PART;Plate, Modified 1 x 2 with 1 Stud (Jumper);10;c
 ;2;3040;R brown;PART;Slope 45 2 x 1;20;s
 ;2;58176;T-B green;PART;Light Cover with Internal Bar / Bionicle Barraki Eye;20;k
 ;1;4740;T-D blue;PART;Dish 2 x 2 Inverted (Radar);10;w
 ;1;6126b;T-L blue;PART;Wave Rounded with Base Rim (Castle Dragon Flame, Seaweed, Water);10;s
 ;2;87087;white;PART;Brick, Modified 1 x 1 with Stud on 1 Side;20;  k
 ;1;553c;white;PART;Brick, Round 2 x 2 Dome Top - Hollow Stud with Bottom Axle Holder x Shape + Orientation;10;w
 ;1;4589b;white;PART;Cone 1 x 1 with Top Groove;10; l
 ;1;4740;white;PART;Dish 2 x 2 Inverted (Radar);10;f
 ;1;43898;white;PART;Dish 3 x 3 Inverted (Radar);10;f
 ;1;3185;white;PART;Fence 1 x 4 x 2;10;f
 ;1;2419;white;PART;Wedge, Plate 3 x 6 Cut Corners;10;f
